Listing Date,Company,Valuation($B),Listing type
08-Jan-21,Clover Health,$7.0,SPAC
13-Jan-21,Affirm,$11.9,IPO
13-Jan-21,Billtrust,$1.3,SPAC
14-Jan-21,Poshmark,$3.0,IPO
15-Jan-21,Playtika,$11.0,IPO
21-Jan-21,Hims and Hers Health,$1.6,SPAC
28-Jan-21,Qualtrics,$15.0,IPO
09-Feb-21,Metromile,-,SPAC
11-Feb-21,Bumble,$8.2,IPO
26-Feb-21,ChargePoint Holdings,$0.45,SPAC
03-Mar-21,Oscar Health,$7.9,IPO
10-Mar-21,Roblox,$30.0,Direct Listing
11-Mar-21,Coupang,$60.0,IPO
23-Mar-21,DigitalOcean,$5.0,IPO
25-Mar-21,VIZIO,$3.9,IPO
26-Mar-21,ThredUp,$1.3,IPO
31-Mar-21,Coursera,$4.3,IPO
01-Apr-21,Compass,$8.0,IPO
14-Apr-21,Coinbase,$86.0,Direct Listing
15-Apr-21,AppLovin,$28.6,IPO
21-Apr-21,UiPath,$35.0,IPO
21-Apr-21,DoubleVerify,$4.2,IPO
05-May-21,The Honest Company,$1.4,IPO
07-May-21,Lightning eMotors,$0.82,SPAC
07-May-21,Blade Air Mobility,$0.83,SPAC
19-May-21,Squarespace,$7.4,Direct Listing
19-May-21,Procore,$9.6,IPO
19-May-21,Oatly,$10.0,IPO
26-May-21,ZipRecruiter,$2.4,IPO
26-May-21,FIGS,$4.4,IPO
01-Jun-21,SoFi,$8.7,SPAC
02-Jun-21,BarkBox,$1.6,SPAC
08-Jun-21,Marqueta,$15.0,IPO
10-Jun-21,Monday.com,$7.5,IPO
16-Jun-21,WalkMe,$2.5,IPO
22-Jun-21,Sprinklr,$3.7,IPO
24-Jun-21,Confluent,$9.1,IPO
29-Jun-21,Clear,$4.5,IPO
30-Jun-21,SentinelOne,$10.0,IPO
30-Jun-21,LegalZoom,$7.0,IPO
30-Jun-21,Didi Chuxing,$73.0,IPO
16-Jul-21,Blend,$4,IPO
21-Jul-21,Kaltura,$1.24,IPO
21-Jul-21,DISCO,$2.5,IPO
21-Jul-21,Couchbase,$1.4,IPO
23-Jul-21,Vtex,$3.5,IPO
23-Jul-21,Outbrain,$1.1,IPO
